Tamaño del input, Tiempo (ms)
153, 14
562, 217
186, 19
319, 62
448, 105
694, 271
369, 68
603, 176
418, 73
266, 29
445, 105
667, 238
296, 33
963, 574
803, 356
472, 113
894, 472
990, 589
588, 172
878, 427
368, 60
887, 479
132, 6
931, 555
721, 286
219, 22
781, 380
983, 659
390, 79
646, 253
354, 52
337, 48
229, 24
948, 601
411, 79
898, 537
948, 592
970, 570
661, 235
50, 0
89, 2
487, 112
390, 83
79, 1
201, 14
275, 30
943, 543
703, 266
635, 222
22, 0
706, 254
346, 47
535, 152
702, 279
310, 39
128, 5
731, 294
275, 30
18, 0
554, 174
810, 355
25, 0
21, 0
895, 537
746, 311
317, 49
885, 510
296, 37
887, 442
360, 54
228, 20
344, 49
308, 49
849, 392
792, 332
958, 515
405, 88
28, 0
421, 81
495, 121
298, 41
27, 0
32, 0
943, 488
300, 40
106, 3
752, 341
257, 35
954, 676
541, 181
872, 550
494, 143
303, 42
673, 245
823, 402
34, 0
635, 223
988, 537
460, 93
958, 550
128, 5
849, 380
322, 48
815, 358
483, 116
656, 219
729, 354
851, 414
355, 54
83, 2
132, 6
804, 378
151, 8
44, 0
846, 393
230, 26
508, 122
219, 20
36, 0
668, 239
468, 116
696, 293
556, 172
214, 19
327, 49
345, 64
221, 25
136, 9
650, 258
350, 75
504, 142
707, 296
198, 15
25, 0
2, 0
216, 18
449, 104
89, 2
109, 3
302, 37
533, 136
535, 138
933, 542
862, 437
889, 455
79, 2
401, 72
533, 130
318, 42
486, 118
153, 8
217, 22
740, 284
696, 256
46, 0
220, 19
896, 470
576, 167
673, 210
702, 257
986, 589
971, 589
324, 45
406, 81
375, 62
661, 247
122, 5
734, 318
812, 350
946, 484
784, 345
609, 193
691, 262
923, 574
532, 152
465, 109
320, 43
322, 43
411, 74
617, 205
717, 270
749, 375
143, 7
431, 89
23, 0
93, 3
485, 129
927, 469
843, 395
345, 51
31, 0
224, 18
65, 1
392, 79
191, 14
47, 0
802, 326
917, 468
891, 551
823, 433
505, 130
611, 184
863, 398
723, 273
772, 344
573, 186
546, 148
518, 127
739, 295
672, 234
332, 55
581, 163
499, 113
569, 151
578, 179
336, 56
444, 94
542, 152
557, 152
940, 548
595, 187
558, 156
533, 134
189, 17
490, 98
448, 89
821, 376
825, 406
799, 374
332, 52
379, 67
836, 417
53, 0
291, 32
274, 29
961, 578
888, 516
652, 228
537, 134
262, 29
734, 304
494, 133
769, 327
499, 136
445, 96
361, 60
7, 0
211, 16
496, 117
664, 223
647, 225
354, 51
83, 2
398, 74
9, 0
791, 362
286, 38
732, 291
795, 394
966, 558
710, 304
165, 10
834, 458
442, 89
691, 253
990, 610
255, 28
828, 422
575, 170
355, 54
887, 460
577, 175
147, 7
481, 117
588, 169
138, 7
562, 205
275, 33
633, 229
229, 20
806, 398
864, 423
457, 95
45, 0
201, 15
716, 343
533, 135
673, 361
348, 62
923, 514
652, 294
33, 0
454, 106
469, 110
569, 172
443, 92
113, 4
752, 379
350, 55